               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.023584,           0.0090591,                   0,             0.86164,             0.72122,             0.81224,             0.44242,            0.031478,           0.0075592,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.023652,           0.0087333,                   0,             0.84335,             0.74025,             0.82341,             0.44444,            0.031476,           0.0076081,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.021956,           0.0085414,                   0,             0.85225,             0.74444,             0.83009,             0.45479,            0.031672,           0.0075534,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.022014,            0.009441,                   0,             0.86984,             0.74548,             0.83191,             0.45445,            0.031557,           0.0075861,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.022528,           0.0093648,                   0,              0.8614,             0.73611,             0.82157,              0.4558,            0.031206,           0.0074433,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.023148,            0.009233,                   0,             0.85227,             0.75104,             0.82725,             0.44859,            0.031776,           0.0075444,                   0,             0.00208,             0.00208,             0.00208
                 122,             0.02184,           0.0083965,                   0,              0.8347,             0.75148,             0.81471,              0.4448,            0.032727,           0.0074592,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.023404,           0.0088584,                   0,             0.83834,             0.75013,             0.81747,             0.44083,            0.032862,           0.0076745,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.022178,           0.0085082,                   0,             0.85659,             0.74768,             0.82884,             0.45243,            0.032667,           0.0077761,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.022386,            0.008927,                   0,             0.87169,             0.73574,              0.8248,             0.45126,            0.031774,            0.007768,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.023016,           0.0086118,                   0,             0.85923,             0.73958,             0.82097,             0.45057,            0.032057,           0.0078325,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.022034,           0.0082274,                   0,             0.85389,             0.75593,             0.82854,             0.45115,            0.032127,           0.0077045,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.021407,           0.0088558,                   0,             0.85307,               0.758,             0.83113,             0.45935,            0.032086,           0.0076425,                   0,            0.001618,            0.001618,            0.001618
                 129,             0.02205,           0.0084843,                   0,             0.85366,             0.76158,             0.82799,             0.44875,            0.031833,           0.0076622,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.021433,           0.0082247,                   0,             0.86154,             0.77361,             0.83585,             0.45994,             0.03138,           0.0075909,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.021846,           0.0084893,                   0,             0.84077,             0.77083,             0.83494,             0.45695,            0.031842,           0.0076077,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.021071,           0.0080962,                   0,             0.83265,             0.77505,             0.83525,             0.46341,            0.031817,           0.0075535,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.021816,           0.0084189,                   0,             0.83527,              0.7687,             0.82883,             0.45267,             0.03175,           0.0076703,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.021334,           0.0082255,                   0,             0.82505,             0.76085,             0.82606,             0.45374,            0.031693,           0.0076848,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.020884,           0.0088905,                   0,             0.82069,             0.77663,             0.82374,             0.44715,            0.031642,           0.0076308,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.021304,           0.0082954,                   0,             0.85169,             0.75139,             0.82614,             0.45904,             0.03186,           0.0076284,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.021256,           0.0088986,                   0,             0.84775,             0.75139,             0.82556,              0.4548,            0.031728,           0.0076747,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.021122,           0.0086755,                   0,             0.83429,             0.76916,             0.82222,              0.4483,            0.031763,           0.0076976,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.021774,            0.009216,                   0,             0.83982,             0.74826,             0.82184,             0.45127,            0.031763,           0.0077119,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.021246,           0.0080413,                   0,             0.84212,             0.76389,             0.82732,             0.45595,            0.031769,            0.007697,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.020924,           0.0088944,                   0,             0.84735,             0.76324,             0.82728,             0.45486,            0.031763,           0.0077306,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.020114,           0.0082737,                   0,             0.84111,             0.76465,             0.82631,             0.45559,            0.031747,           0.0077555,                   0,            0.000694,            0.000694,            0.000694
                 143,             0.02118,           0.0084496,                   0,             0.83904,             0.76018,             0.81928,             0.44955,            0.031835,           0.0077761,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.020375,           0.0080801,                   0,              0.8331,             0.77647,             0.83143,             0.45657,            0.031547,            0.007717,                   0,            0.000562,            0.000562,            0.000562
                 145,             0.02092,             0.00857,                   0,             0.83537,             0.78225,             0.83327,             0.46146,            0.031295,           0.0076515,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.020566,            0.008252,                   0,             0.84511,             0.75783,             0.82748,             0.45585,            0.031313,           0.0077099,                   0,             0.00043,             0.00043,             0.00043
                 147,              0.0202,           0.0085535,                   0,             0.83866,             0.77249,             0.83011,             0.45972,            0.031234,           0.0076899,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.020308,           0.0084455,                   0,             0.84399,             0.76528,             0.81977,             0.45005,            0.031473,           0.0077412,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.021275,           0.0084908,                   0,             0.84806,             0.77222,             0.83248,             0.45779,            0.031297,            0.007684,                   0,            0.000232,            0.000232,            0.000232
